Content Type,Field ID
video,title
video,slug
video,description
video,videoUrl
video,thumbnailImage
video,uploadDate
video,duration
video,transcript
video,selfVideo
pageBlogPost,internalName
pageBlogPost,title
pageBlogPost,slug
pageBlogPost,publishedDate
pageBlogPost,author
pageBlogPost,category
pageBlogPost,featuredImage
pageBlogPost,excerpt
pageBlogPost,contentBody
pageBlogPost,seoFields
pageBlogPost,relatedBlogPosts
pageBlogPost,callToAction
foundationalPage,pageName
foundationalPage,author
foundationalPage,pageSlug
foundationalPage,fBodyContent
foundationalPage,youTubeVideo
foundationalPage,metadata
foundationalPage,relatedBlogs
foundationalPage,callToAction
websiteCta,sectionTitle
websiteCta,ctaTitle
websiteCta,ctaCopy
websiteCta,ctaImage
websiteCta,ctaButtonText
websiteCta,ctaButtonLink
youTubeEmbed,internalName
youTubeEmbed,youTubeLink
youTubeEmbed,upload
